ID,Name,Area,Computed_Coordinates,Coordinate_Source,Section,Township,Range,Legal_Description,Status,Notes
1,Magnet Cove Titanium Corporation rutile deposit,Magnet Cove,"34.48501, -92.87767",PLSS section center (approx +/-0.5 mi),18,3S,17W,Sec 18 T.3S. R.17W.,MINED 1931-1944 then abandoned,Only major rutile deposit known in the area; 5188 short tons of concentrate recovered; controlled by C.H. Scott of Denver in 1952; mill since dismantled; proved to 188 ft by drilling but only shallow weathered material worked
2,Christy brookite deposit,Magnet Cove,"34.47957, -92.84907",PLSS quarter center (approx +/-0.5 mi),16,3S,17W,SW4 SW4 Sec 16 T.3S. R.17W.,"DRILLED AND SAMPLED, NEVER MINED",0.5 mi north of Magnet; owned by Malvern Lumber Co in 1952; proved to 130 ft by 21 drill holes plus 1944 test pits; report states no production has been recorded
3,Kilpatrick brookite deposits (aka Hardy-Walsh),Magnet Cove,"34.48501, -92.84261",PLSS section center (approx +/-0.5 mi),16,3S,17W,Secs 16 and 17 T.3S. R.17W.,"TESTED, NEVER MINED",1 mi north of Magnet; owned by the estate of William Kilpatrick in 1952; exploration only test pits and auger holes; no analysis of crystals or concentrate ever made
4,Mo-Ti Corporation property,Magnet Cove,"34.48501, -92.86014",PLSS section center (approx +/-0.5 mi),17,3S,17W,Sec 17 T.3S. R.17W. (south bank of Cove Creek),ABANDONED - FLOODED,Prospect pit flooded by 1952; rutile-brookite-feldspar veins plus molybdenite cutting perovskite-bearing magnetite-pyroxene rock in drill core; none of this rock crops out at surface
5,Kimsey calcite quarry area,Magnet Cove,,Descriptive location only,,,,"West side of Cove Creek, north side of Highway 270",ACTIVE FOR CALCITE - NIOBIUM NEVER PURSUED,Only good surface exposure of the niobium-bearing carbonatite at Magnet Cove; perovskite with up to 8.8% niobium in single crystals; average grade of the body only about 0.01% niobium
6,West tufa hill,Magnet Cove,,Descriptive location only,,,,"North of Kimsey quarry, west of Cove Creek",INFERRED ONLY - NOT DRILLED,Power-auger hole hit only residual clay to surrounding grade; surface littered with iron-stained apatite-rich tufa boulders inferred to derive from underlying calcite rock
7,Middle tufa hill,Magnet Cove,,Descriptive location only,,,,Between west and east tufa hills,INFERRED ONLY - PARTIALLY DRILLED,Power auger struck rock at 20 ft and brought up apatite fragments; soil on the flat south of the hill contains abundant magnetite plus some apatite and perovskite
8,East tufa hill,Magnet Cove,,Descriptive location only,,,,North of the church near Kimsey quarry,INFERRED ONLY - NOT DRILLED,"Power-auger hole penetrated 40 ft of clay without reaching bedrock (limit of available drill pipe); tufa float less abundant, mixed with bleached igneous rock boulders"
9,Perovskite hill,Magnet Cove,,Descriptive location only,,,,"Field south of Highway 270, south of the calcite quarry",NEVER DRILLED,Abundant perovskite visible in the soil; named in older reports; no subsurface exploration recorded in the 1954 bulletin
10,Water well NW corner Sec 19,Magnet Cove,"34.47051, -92.87736",PLSS section center (approx +/-0.5 mi),19,3S,17W,NW corner Sec 19 T.3S. R.17W.,NEVER FOLLOWED UP,A ~90-ft water well penetrated calcite rock; no outcrop nearby but rutile is locally abundant in the surrounding soil
